id,street,city,state,zip
music-in-the-mountains-grass-valley,131 S Auburn St,Grass Valley,CA,
nevada-theater-nevada-city,401 Broad St,Nevada City,CA,
off-broadstreet-nevada-city,305 Commercial St,Nevada City,CA,
sierra-stages-nevada-city,PO Box 709,Nevada City,CA,
sierra-theatre-company-nevada-city,PO Box 709,Nevada City,CA,
stardust-station-nevada-city,792 Nevada St Exd,Nevada City,CA,
tahoe-truckee-school-of-music-truckee,10083 Meadow Way,Truckee,CA,
the-cauldron-loot-and-lore-grass-valley,107 W Main St,Grass Valley,CA,
the-center-for-the-arts-grass-valley,314 W Main St,Grass Valley,CA,
the-parsonage-annex-nevada-city,425 Broad St,Nevada City,CA,
truckee-community-theater-truckee,10046 Church St,Truckee,CA,
truckee-tahoe-theatre-company-truckee,PO Box 2043,Truckee,CA,
a-serious-production-grass-valley,10126 Alta Sierra Drive,Grass Valley,CA,
mountain-event-productions-nevada-city,12626 Dobbins Dr,Nevada City,CA,
myrtle-tree-arts-nevada-city,305 Railroad Ave,Nevada City,CA,
riparian-studios-nevada-city,305 Railroad Ave,Nevada City,CA,
waking-crow-studio-nevada-city,317 Spring St,Nevada City,CA,
yinne-boma-animation-studios-company-nevada-city,300 Broad St,Nevada City,CA,
yinnebowma-nevada-city,300 Broad St,Nevada City,CA,
fieldmouse-press-grass-valley,435 S Auburn St,Grass Valley,CA,
full-circle-press-grass-valley,12803 MacBoyle Way,Grass Valley,CA,
sibylline-press-grass-valley,"109 Carpenter St, Ste B",Grass Valley,CA,
alpenswing-truckee,"10242 Church St, Ste 206",Truckee,CA,
arbor-tahoe-truckee,10130 Donner Pass Rd,Truckee,CA,
area-13-grass-valley,"117 Neal St, Ste B",Grass Valley,CA,
granite-chief-ski-and-mountain-shop-truckee,11368 Donner Pass Rd,Truckee,CA,
high-altitude-fitness-truckee,11798 Donner Pass Rd,Truckee,CA,
tahoe-mountain-sports-truckee,"11200 Donner Pass Rd, Unit 5E",Truckee,CA,
tahoe-sports-hub-truckee,"10095 W River St, #2",Truckee,CA,
totally-board-truckee,10060 Bridge St,Truckee,CA,
truckee-boardhouse-truckee,11486 Donner Pass Rd,Truckee,CA,
choquiero-cacao-cafe-nevada-city,419 Broad St,Nevada City,CA,
coco-s-candy-and-creamery-grass-valley,2072 Nevada City Hwy.,Grass Valley,CA,
crazy-4-yogurt-penn-valley,10136 Commercial Ave,Penn Valley,CA,
dorinda-s-chocolates-truckee,10191 Donner Pass Rd,Truckee,CA,
lazy-dog-chocolateria-grass-valley,111 Mill St,Grass Valley,CA,
nevada-city-chocolate-shoppe-nevada-city,263 Broad St,Nevada City,CA,
summit-swirl-truckee,11325 Deerfield Dr,Truckee,CA,
sweets-handmade-candies-truckee,10118 Donner Pass Rd,Truckee,CA,
the-truffle-shop-nevada-city,408 Broad St,Nevada City,CA,
treats-nevada-city,210 Main St,Nevada City,CA,
backporch-market-grass-valley,135 Colfax Ave,Grass Valley,CA,
briarpatch-co-op-grass-valley,290 Sierra College Dr,Grass Valley,CA,
buoy-and-trap-seafood-market-truckee,"10825 Pioneer Trail, Ste 100",Truckee,CA,
california-organics-nevada-city,135 Argall Way,Nevada City,CA,
dedrick-s-cheese-nevada-city,209 Commercial St,Nevada City,CA,
el-barrio-mexican-market-grass-valley,309 Neal St,Grass Valley,CA,
elevation-2477-nevada-city,569 Searls Ave,Nevada City,CA,
foothill-flowers-grass-valley,102 W Main St,Grass Valley,CA,
